year,quarter,store,net_sales_total,number_orders_total,delivery_sales,delivery_orders,dine_in_sales,dine_in_orders,to_go_sales,to_go_orders,pick_up_sales,pick_up_orders,discounts,percent_discount,ticket_average,web_app_net_sales_online,web_app_number_orders_online,web_app_ticket_avg_online,online_percent_online,number_on_time_deliveries,number_late_deliveries,x3rd_party_sales_total,x3rd_party_orders_total,dd_sales,dd_orders_door_dash,ue_sales,ue_orders,quarter_label,period
2023,1,Twin Oaks,316658.64,10913,134288.96,3829,43399.98,1777,16183.63,952,122786.07,4355,32283.8,10.2,29.02,159884.89,4861,32.89,50.5,3239,488,0,0,0,0,0,0,Q1,2023 Q1
2023,1,UCity East,302813.46,10796,174492.69,5220,0,0,23046.53,1310,105274.24,4266,37239.76,12.3,28.05,129903.72,4162,31.21,42.9,3615,1501,0,0,0,0,0,0,Q1,2023 Q1
2023,1,UCity West,259480.67,9728,144487.59,4575,0,0,24481.61,1289,90511.47,3864,33555.52,12.9,26.67,105250.68,3453,30.48,40.6,3861,622,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Union,276543.85,9078,111744.99,3093,50094.91,1893,11294.02,605,103409.93,3487,25939.21,9.4,30.46,135579.26,3906,34.71,49,2010,923,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Vaile,549019.89,19981,235371.45,7235,113.19,6,4918.9,305,308616.35,12435,47216.64,8.6,27.48,297205.91,10158,29.26,54.1,5533,1559,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Warrenton,413009.77,13061,156601.86,3909,43071.05,1762,22536.57,1114,190800.29,6276,96893.59,23.5,31.62,185105,5090,36.37,44.8,2747,985,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Washington,360328.35,12012,120468.1,3258,96565.4,3776,16077.21,841,127217.64,4137,34192.15,9.5,30,145839.04,4177,34.91,40.5,2373,653,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Waterloo,355087.47,12613,131305.62,3636,55248.73,2404,13051.94,801,155481.18,5772,35428.88,10,28.15,173090.81,5269,32.85,48.7,3070,395,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Webster Groves,386750.36,13171,242907.63,7164,24800.36,1209,18920.73,1261,100121.64,3537,45448.72,11.8,29.36,210900.29,6188,34.08,54.5,5939,868,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Wentzville,447709.21,13647,219631.59,5776,15463.17,622,20028.47,977,192585.98,6272,110894.24,24.8,32.81,240261.35,6520,36.85,53.7,3250,2217,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Wildwood,195992.23,6289,99761.03,2739,5343.72,261,8983.53,513,81903.95,2776,20819.7,10.6,31.16,103333.87,2964,34.86,52.7,1764,798,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Winghaven,414021.84,12790,195043.16,5036,178.62,7,24262.7,1199,194537.36,6548,87825.89,21.2,32.37,222940.1,6176,36.1,53.8,3963,808,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Wood River,309541.44,10300,131338.82,3444,34814.86,1694,11430.42,619,131957.34,4543,42864.36,13.8,30.05,166608.18,4675,35.64,53.8,2266,1027,0,0,0,0,0,0,Q1,2023 Q1
2023,2,1000 Hampton,671736.05,25364,171760.33,5092,147874.8,5503,80344.33,4119,271756.59,10650,62954.37,9.4,26.48,234661.25,7742,30.31,34.9,3233,1556,0,0,0,0,0,0,Q2,2023 Q2
2023,2,1st Capitol,358546.9,11361,204830.53,5451,18899.12,797,26048.83,1224,108768.42,3889,41235.36,11.5,31.56,195854.26,5544,35.33,54.6,3389,1888,0,0,0,0,0,0,Q2,2023 Q2
2023,2,5806 Hampton,293010.35,10978,190345.03,6739,0,0,10952.16,698,91713.16,3541,29574.31,10.1,26.69,168658.81,5760,29.28,57.6,5524,1077,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Affton,361869.87,13650,173307.86,5352,14772.42,740,20269.46,1310,153520.13,6248,44060.56,12.2,26.51,204500.49,6849,29.86,56.5,4641,526,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Arnold - El Lago,380729.22,11985,216811.63,5595,7215.8,271,20726.14,1453,135975.65,4666,54232.43,14.2,31.77,218825.36,5902,37.08,57.5,4048,1394,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Arnold - Jeffco,279055.54,10011,110454.14,3111,22220.83,1000,17900.79,1085,128479.78,4815,37299.95,13.4,27.87,127605.43,3827,33.34,45.7,1824,1168,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Ballwin,185410.04,6025,103736.63,2968,0,0,9527.03,551,72146.38,2506,24295.08,13.1,30.77,108830.58,3149,34.56,58.7,2183,647,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Belleville East,310387.02,10609,165461.5,4560,0,0,18193.67,1010,126731.85,5039,34658.13,11.2,29.26,176684.02,5348,33.04,56.9,3716,689,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Belleville West,282181.82,10064,140059.11,3965,3216.15,147,28097.69,1583,110808.87,4369,27915.38,9.9,28.04,140324.77,4340,32.33,49.7,2986,866,0,0,0,0,0,0,Q2,2023 Q2
2023,2,Bel-Ridge,255629.08,9700,120281.05,3623,0,0,35040.47,1957,100307.56,4120,33535.09,13.1,26.35,95101.99,3157,30.12,37.2,1950,1590,0,0,0,0,0,0,Q2,2023 Q2
